title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price
John Campbell,"RAEBURN, HENRY",British,Portrait,Painting,30,25,750,Agnew's,Dealer,"Frick, Henry Clay",Collector,"1 E. 70th St., New York, NY, USA","40.771147,-73.967993",1912-12-08,1916-12-12,440,9500
Port of Adam Rolland of Gask Advocate Born 1734 Died 1819,"RAEBURN, HENRY",British,Portrait,Painting,35.75,27.625,987.59375,Wallis and Son,Dealer,"Jennings, Walter",Collector,"26 Broadway, New York, NY, USA","40.706214,-74.012948",1912-01-13,1912-05-02,725,8500
A pink on shore at Schweningen,"MARIS, JACOB HENRICUS",Dutch,Landscape,Painting,,,,American Art Association,Dealer,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",1912-02-02,1913-01-11,3400,4500
The Thau,"CAZIN, JEAN CHARLES",French,Landscape,Painting,,,,American Art Association,Dealer,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",1912-02-02,1912-02-03,1450,2250
"""No man's land"" [title from sales book 9, 1907-1912, f.388]","WYANT, ALEXANDER HELWIG",American,Genre,Painting,,,,American Art Association,Dealer,"Clark, William (New York)",Collector,"51 E. 74th St., New York, NY, USA","40.772964,-73.964079",1912-02-02,1912-02-08,6500,7500
"Duke of Gloucester; H.R.H. Duke of Gloucester [title info from Sales Book 10, f.113","BEECHEY, WILLIAM",British,Portrait,Painting,,,,"Reid, Daniel Gray",Collector,"Skinner, William Cobbett",Collector,"36 E. 39th St., New York, NY, USA","40.750728,-73.980512",1912-02-02,1913-03-01,1275,7500
"[""Banks of the river Oise at Conflans"" title info from Sales Book 10, 1912-1916, f.27]","DAUBIGNY, CHARLES FRANÇOIS",French,Landscape,Painting,,,,"Reid, Daniel Gray",Collector,"Gary, Elbert Henry",Collector,"Waldorf Astoria, New York, NY, USA","40.730079,-73.992841",1912-02-02,1912-05-06,12000,22000
Mrs. Alex Henderson From Coll of Mrs. J.M. Burn of Bath Illustrated Greig's Raeburn page 32 Christie's Sale Dec. 16/11,"RAEBURN, HENRY",British,Portrait,Painting,,,,Colnaghi's,Dealer,"Milton, Mildred Anna",Collector,"46 E. 50th St., New York, NY, USA","40.757634,-73.975341",1912-03-03,1912-05-08,840,12000
Billy & Dick sellers; The Old Road Rolleboise Landscape sheep,"RUSSEAU, PERCIVAL LEONARD",American,Landscape; Animals,Painting,,,,"Russeau, Percival Leonard",Artist,"Borden, L.M.",Collector,"384 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1912-03-04,1917-06-07,400,500
Matinée près Estrelles,"HARPIGNIES, HENRI",French,Landscape,Painting,32,25.75,824,"Roebling, Charles G.",Collector,"Tanenbaum, Moses",Collector,"31 W. 75th St., New York, NY, USA","40.778599,-73.975293",1912-03-12,1912-04-04,4000,6000
